Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG,npxG,xAG,npxG+xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_per_90,Assists_Per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,xG_per_90,xAG_per_90,xG+xAG_per_90,npxG_per_90,npxG+xAG_per_90,Shots,Shots_on_Target,Shots_on_Target_%,Shots_per_90,Shots_on_Target_per_90,Goals_per_Shot,Goals_per_Shot_on_Target,Distance,Free_Kicks,npxG_per_Shot,G-xG,npxG-xG,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,xA,xA-xAG,Key_Passes,Final_Third_Passes,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Through_Balls,Switches,Crosses,Passes_Blocked,SCA,SCA_per_90,SCA_Pass_Live,SCA_Pass_Dead,SCA_Take_Ons,SCA_Shots,SCA_Fouled,SCA_Defense,GCA,GCA_per_90,GCA_Pass_Live,GCA_Pass_Dead,GCA_Take_Ons,GCA_Shots,GCA_Fouled,GCA_Defense,Tackles,Tackles_Won,Tackles_Defensive_3rd,Tackles_Middle_3rd,Tackles_Attacking_3rd,Dribblers_Tackled,Dribbles_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Touches_Middle_Third,Touches_Attacking_Third,Touches_Attacking_Penalty_Area,Touches_Live_Ball,Take_Ons_Attempted,Take_Ons_Successful,Take_Ons_Success_%,Tackled_During_Take_On,Tackled_During_Take_On_%,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Carries_Into_Final_3rd,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_%
Fabio Miretti,ITA,"MF,DF",Genoa,Serie A,21,2003,6,4,323,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,11,10,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,2,0,0.0,0.56,0.0,0.0,0.0,28,1,0.06,-0.1,-0.1,68,98,69.4,1462,525,24,29,82.8,27,34,79.4,15,28,53.6,0.4,-0.2,2,2,1,1,0,1,18,3,9,2.51,4,3,1,0,1,0,1,0,0,1,0,0,0,0,10,5,3,4,3,8,9,88.9,1,3,0,1,11,3,0,149,2,27,73,53,5,149,13,5,38.5,6,46.2,67,300.0,100.0,4,3,10,8,82,0,5,6,0,0,0,0,16,2,2,50.0
Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,Premier League,25,1999,11,11,940,10.4,0,1,1,0,0,0,0,0,0.3,0.3,1.8,2.1,21,27,74,0.0,0.1,0.1,0.0,0.1,0.03,0.17,0.2,0.03,0.2,4,1,25.0,0.38,0.1,0.0,0.0,12,0,0.08,-0.3,-0.3,344,478,72.0,5476,2177,182,216,84.3,135,186,72.6,19,46,41.3,1.2,-0.8,12,25,12,7,0,0,43,14,29,2.78,26,1,0,1,1,0,1,0,1,0,0,0,0,0,31,22,19,9,3,6,12,50.0,6,20,3,5,36,25,1,600,36,182,232,190,15,600,9,3,33.3,5,55.6,277,1267.0,573.0,15,2,11,9,324,0,4,9,0,0,0,0,54,8,6,57.1
Kaoru Mitoma,JPN,"FW,MF",Brighton,Premier League,27,1997,11,10,915,10.2,1,2,3,1,0,0,0,0,2.6,2.6,2.7,5.2,59,33,118,0.1,0.2,0.3,0.1,0.3,0.25,0.26,0.52,0.25,0.52,22,9,40.9,2.16,0.89,0.05,0.11,14,0,0.12,-1.6,-1.6,265,357,74.2,3572,814,174,204,85.3,65,95,68.4,14,24,58.3,2.0,-0.7,14,14,14,5,3,0,32,14,35,3.44,27,0,2,3,2,1,6,0,5,0,0,0,1,0,16,9,4,7,5,9,17,52.9,8,18,0,6,22,2,0,488,3,52,169,277,65,488,55,21,38.2,32,58.2,298,2534.0,1621.0,31,25,17,7,357,0,10,8,2,0,0,0,30,7,7,50.0
Maximilian Mittelstädt,GER,DF,Stuttgart,Bundesliga,27,1997,10,8,723,8.0,0,3,3,0,0,0,2,0,0.3,0.3,1.1,1.5,14,56,41,0.0,0.37,0.37,0.0,0.37,0.04,0.14,0.18,0.04,0.18,7,1,14.3,0.87,0.12,0.0,0.0,23,0,0.05,-0.3,-0.3,519,616,84.3,8897,2898,261,279,93.5,210,249,84.3,45,72,62.5,1.9,1.9,20,52,22,13,0,6,49,8,33,4.11,30,2,1,0,0,0,5,0,5,0,0,0,0,0,21,14,14,6,1,14,20,70.0,6,17,8,11,32,20,1,708,36,181,317,213,9,708,10,8,80.0,1,10.0,357,1502.0,742.0,14,1,10,4,469,0,6,15,1,0,0,0,33,5,4,55.6
Koji Miyoshi,JPN,"MF,FW",Bochum,Bundesliga,27,1997,7,3,216,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,5,5,6,0.42,0.0,0.42,0.42,0.42,0.31,0.03,0.34,0.31,0.34,8,3,37.5,3.33,1.25,0.13,0.33,23,0,0.09,0.3,0.3,24,56,42.9,379,104,9,16,56.3,12,19,63.2,1,10,10.0,0.1,-0.1,1,1,3,0,3,1,6,5,3,1.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,2,6,33.3,4,5,1,1,5,2,0,89,2,16,40,36,9,89,7,3,42.9,4,57.1,56,326.0,135.0,4,2,6,2,54,0,6,1,0,0,0,0,13,2,7,22.2
Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,35,1989,12,12,952,10.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.3,22,72,38,0.09,0.0,0.09,0.09,0.09,0.09,0.04,0.12,0.09,0.12,9,2,22.2,0.85,0.19,0.11,0.5,19,0,0.1,0.1,0.1,504,584,86.3,8066,1935,267,294,90.8,199,232,85.8,30,38,78.9,1.1,-0.4,7,60,20,1,3,2,9,8,32,3.03,32,0,0,0,0,0,2,0,2,0,0,0,0,0,15,9,3,9,3,7,16,43.8,9,6,0,9,24,15,0,670,20,96,362,217,17,670,11,1,9.1,10,90.9,391,2006.0,972.0,24,5,9,9,500,0,8,4,3,0,0,0,53,8,7,53.3
Jakub Moder,POL,MF,Brighton,Premier League,25,1999,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,13,84.6,172,23,5,7,71.4,6,6,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,2,0,16,0,5,7,4,0,16,0,0,0.0,0,0.0,7,64.0,52.0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0.0
Rui Modesto,ANG,DF,Udinese,Serie A,25,1999,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13,18,72.2,259,98,7,11,63.6,3,3,100.0,3,3,100.0,0.0,0.0,1,1,0,0,0,0,1,1,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,0,0,1,2,0,0,20,0,5,9,7,2,20,0,0,0.0,0,0.0,9,50.0,26.0,0,1,2,0,11,0,0,0,0,0,0,0,1,1,0,100.0
Luka Modrić,CRO,MF,Real Madrid,La Liga,39,1985,12,5,597,6.6,0,2,2,0,0,0,3,0,0.3,0.3,2.7,3.0,17,53,23,0.0,0.3,0.3,0.0,0.3,0.05,0.41,0.45,0.05,0.45,8,2,25.0,1.21,0.3,0.0,0.0,26,1,0.04,-0.3,-0.3,494,563,87.7,8736,2673,220,236,93.2,200,215,93.0,56,83,67.5,2.6,-0.7,23,61,10,1,3,8,36,5,39,5.88,20,17,0,2,0,0,4,0,2,2,0,0,0,0,5,2,4,0,1,4,9,44.4,5,6,1,7,12,6,0,617,12,91,335,197,6,617,5,4,80.0,1,20.0,390,2027.0,992.0,13,3,13,6,475,0,10,5,0,0,0,0,34,1,4,20.0
Max Moerstedt,GER,FW,Hoffenheim,Bundesliga,2024,0,4,0,55,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0,0,,,,,,0,0,,,,13,17,76.5,140,28,7,8,87.5,4,4,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,3,4.82,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,27,1,6,5,16,5,27,2,1,50.0,1,50.0,14,82.0,44.0,1,2,2,3,19,0,2,2,0,0,0,0,3,3,2,60.0
Mostafa Mohamed,EGY,FW,Nantes,Ligue 1,27,1997,10,4,400,4.4,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,4,11,21,0.23,0.0,0.23,0.23,0.23,0.34,0.02,0.36,0.34,0.36,15,7,46.7,3.38,1.58,0.07,0.14,13,0,0.1,-0.5,-0.5,46,83,55.4,797,234,17,33,51.5,20,27,74.1,7,10,70.0,0.1,-0.1,2,9,4,0,1,0,1,4,4,0.9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,3,4,1,2,6,33.3,4,2,0,2,10,10,0,144,11,18,54,76,26,144,6,3,50.0,3,50.0,81,342.0,142.0,6,2,13,9,88,0,10,1,2,0,0,0,19,15,12,55.6
Johan Mojica,COL,DF,Mallorca,La Liga,32,1992,12,10,908,10.1,0,0,0,0,0,0,2,0,0.2,0.2,1.4,1.6,18,47,49,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,4,0,0.0,0.4,0.0,0.0,0.0,23,1,0.05,-0.2,-0.2,383,500,76.6,7205,2787,185,206,89.8,143,182,78.6,52,90,57.8,1.5,-1.4,14,39,18,11,0,4,50,15,24,2.38,20,1,1,1,1,0,1,0,1,0,0,0,0,0,14,9,11,1,2,8,13,61.5,5,3,1,11,25,33,0,607,43,189,239,190,2,607,30,13,43.3,13,43.3,307,1561.0,698.0,11,0,14,11,340,0,6,8,0,0,0,0,65,5,3,62.5
Alberto Moleiro,ESP,"FW,MF",Las Palmas,La Liga,21,2003,13,12,1014,11.3,4,0,4,4,0,0,2,0,2.9,2.9,1.6,4.6,40,51,83,0.36,0.0,0.36,0.36,0.36,0.26,0.14,0.4,0.26,0.4,30,14,46.7,2.66,1.24,0.13,0.29,18,0,0.1,1.1,1.1,346,410,84.4,4855,1096,211,236,89.4,112,125,89.6,13,22,59.1,1.6,-1.6,16,32,10,1,6,0,9,10,46,4.08,33,0,9,2,2,0,1,0,0,0,1,0,0,0,11,5,5,5,1,8,20,40.0,12,12,0,6,17,5,0,558,2,67,280,222,40,558,62,27,43.5,32,51.6,379,2510.0,1396.0,36,9,28,16,441,0,7,11,0,0,0,0,51,0,8,0.0
Nahuel Molina,ARG,DF,Atlético Madrid,La Liga,26,1998,10,9,705,7.8,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,18,27,42,0.0,0.13,0.13,0.0,0.13,0.05,0.07,0.13,0.05,0.13,4,1,25.0,0.51,0.13,0.0,0.0,23,0,0.11,-0.4,-0.4,402,526,76.4,6000,2189,228,254,89.8,134,181,74.0,22,53,41.5,0.8,0.4,6,23,6,1,1,3,29,16,22,2.81,13,5,2,1,0,1,2,0,2,0,0,0,0,0,17,8,9,8,0,12,25,48.0,13,8,0,6,23,20,0,604,22,171,273,166,6,604,14,7,50.0,6,42.9,348,1599.0,947.0,11,1,11,2,380,0,5,1,0,0,0,0,29,6,4,60.0
Florent Mollet,FRA,"MF,FW",Nantes,Ligue 1,33,1991,5,1,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,2,5,4,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.3,0.16,0.3,3,2,66.7,2.7,1.8,0.0,0.0,18,0,0.06,-0.2,-0.2,44,51,86.3,653,200,26,27,96.3,16,17,94.1,2,6,33.3,0.1,-0.2,3,5,1,0,0,0,5,1,6,5.35,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,1,0,1,2,1,0,60,1,12,29,19,2,60,1,1,100.0,0,0.0,45,213.0,92.0,3,0,2,0,43,0,1,1,0,0,0,0,7,0,3,0.0
Jon Moncayola,ESP,"MF,FW",Osasuna,La Liga,26,1998,12,9,770,8.6,0,0,0,0,0,0,4,0,0.6,0.6,1.7,2.3,8,31,19,0.0,0.0,0.0,0.0,0.0,0.07,0.19,0.27,0.07,0.27,8,1,12.5,0.94,0.12,0.0,0.0,15,0,0.08,-0.6,-0.6,212,307,69.1,3945,1398,86,100,86.0,90,127,70.9,28,64,43.8,1.8,-1.7,17,23,5,2,0,1,44,4,26,3.04,14,12,0,0,0,0,1,0,1,0,0,0,0,0,30,15,7,19,4,10,22,45.5,12,15,1,6,36,10,0,386,13,68,195,127,12,386,4,3,75.0,1,25.0,165,654.0,275.0,5,2,11,4,200,0,12,3,0,0,0,0,33,4,5,44.4
Gonzalo Montiel,ARG,"MF,DF",Sevilla,La Liga,27,1997,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,1,0,0.0,7.5,0.0,0.0,0.0,14,0,0.03,0.0,0.0,7,9,77.8,153,40,3,3,100.0,3,3,100.0,1,3,33.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,13,1,4,6,3,2,13,1,0,0.0,0,0.0,9,57.0,28.0,0,0,1,0,10,0,0,1,0,0,0,0,1,0,0,0.0
Mikey Moore,ENG,FW,Tottenham,Premier League,17,2007,4,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,12,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,1,0,0.0,1.06,0.0,0.0,0.0,23,0,0.04,0.0,0.0,15,22,68.2,164,46,7,7,100.0,4,7,57.1,0,2,0.0,0.0,0.0,0,0,2,0,0,0,4,0,5,5.29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,34,0,4,6,24,3,34,6,1,16.7,4,66.7,27,235.0,125.0,2,2,2,2,27,0,0,3,0,0,0,0,1,1,1,50.0
Álvaro Morata,ESP,"FW,MF",Milan,Serie A,32,1992,8,6,531,5.9,2,0,2,2,0,0,3,0,1.1,1.1,0.3,1.4,12,20,24,0.34,0.0,0.34,0.34,0.34,0.18,0.06,0.24,0.18,0.24,11,5,45.5,1.86,0.85,0.18,0.4,11,0,0.1,0.9,0.9,111,143,77.6,1907,386,61,78,78.2,32,44,72.7,14,15,93.3,0.2,-0.3,5,11,3,0,0,3,7,1,11,1.86,8,0,0,1,1,1,1,0,0,0,0,1,0,0,5,4,1,4,0,2,3,66.7,1,4,1,5,10,1,0,197,2,14,98,86,27,197,8,3,37.5,2,25.0,116,801.0,338.0,7,4,16,8,160,0,14,12,3,0,0,0,14,5,10,33.3
Morato,BRA,DF,Nott'Ham Forest,Premier League,23,2001,5,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,20,50.0,183,91,6,6,100.0,3,5,60.0,1,4,25.0,0.0,0.0,0,1,0,0,0,0,0,3,2,2.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,1,1,2,3,14,0,40,15,27,6,7,0,40,1,1,100.0,0,0.0,9,28.0,7.0,1,0,0,0,13,0,1,0,0,0,0,0,3,1,4,20.0
Diego Moreira,POR,"DF,MF",Strasbourg,Ligue 1,20,2004,11,9,824,9.2,1,3,4,1,0,0,2,0,0.7,0.7,1.8,2.5,28,24,70,0.11,0.33,0.44,0.11,0.44,0.08,0.19,0.27,0.08,0.27,9,5,55.6,0.98,0.55,0.11,0.2,13,0,0.08,0.3,0.3,308,417,73.9,4925,1343,162,197,82.2,112,149,75.2,23,41,56.1,2.3,1.2,9,10,6,1,4,2,24,10,23,2.51,13,4,3,0,2,1,4,0,3,0,0,0,1,0,15,10,4,7,4,6,11,54.5,5,5,1,12,27,16,0,523,30,125,244,164,24,523,33,10,30.3,20,60.6,276,1724.0,944.0,18,10,12,9,333,0,11,14,0,0,1,0,45,12,13,48.0
Alberto Moreno,ESP,DF,Como,Serie A,32,1992,12,12,1016,11.3,0,0,0,0,0,0,4,0,0.2,0.2,0.9,1.1,10,47,33,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,9,4,44.4,0.8,0.35,0.0,0.0,24,0,0.03,-0.2,-0.2,538,647,83.2,9397,3324,241,259,93.1,238,276,86.2,50,86,58.1,1.0,-0.9,14,42,13,7,1,3,28,10,23,2.04,21,2,0,0,0,0,2,0,2,0,0,0,0,0,17,9,10,7,0,8,14,57.1,6,9,1,11,28,18,2,735,28,233,330,177,14,735,6,3,50.0,3,50.0,433,1744.0,723.0,19,2,10,2,487,0,12,7,0,0,0,0,42,5,12,29.4
Álex Moreno,ESP,DF,Nott'Ham Forest,Premier League,31,1993,8,8,613,6.8,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,16,26,20,0.0,0.15,0.15,0.0,0.15,0.02,0.14,0.16,0.02,0.16,5,0,0.0,0.73,0.0,0.0,0.0,25,0,0.03,-0.1,-0.1,199,281,70.8,2942,1113,120,142,84.5,62,94,66.0,9,27,33.3,0.8,0.0,4,18,6,1,1,1,10,8,9,1.32,9,0,0,0,0,0,2,0,2,0,0,0,0,0,17,12,14,3,0,8,22,36.4,14,8,4,10,27,26,0,372,40,138,138,105,5,372,12,5,41.7,4,33.3,160,998.0,588.0,12,2,9,4,170,0,10,4,0,0,0,0,29,1,7,12.5
Gerard Moreno,ESP,FW,Villarreal,La Liga,32,1992,2,2,115,1.3,0,1,1,0,0,0,0,0,0.3,0.3,1.3,1.5,0,9,8,0.0,0.78,0.78,0.0,0.78,0.21,0.99,1.2,0.21,1.2,5,3,60.0,3.91,2.35,0.0,0.0,14,0,0.05,-0.3,-0.3,38,48,79.2,680,165,16,19,84.2,16,18,88.9,5,7,71.4,0.2,-0.3,4,2,4,0,0,0,1,0,7,5.48,6,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,0,0,2,1,1,100.0,0,0,0,0,2,1,0,60,2,2,28,30,8,60,2,1,50.0,1,50.0,35,166.0,48.0,1,0,3,2,50,0,0,2,0,0,0,0,2,2,0,100.0
Tete Morente,ESP,"FW,MF",Lecce,Serie A,28,1996,9,4,383,4.3,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.2,9,18,27,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.29,0.25,0.29,5,2,40.0,1.17,0.47,0.0,0.0,15,0,0.22,-1.1,-1.1,106,132,80.3,1588,511,66,71,93.0,29,36,80.6,8,17,47.1,0.1,-0.2,5,10,4,1,0,1,7,6,12,2.82,10,0,0,1,0,1,1,0,1,0,0,0,0,0,7,4,2,4,1,2,10,20.0,8,6,0,3,10,3,0,175,3,24,80,73,5,175,7,3,42.9,3,42.9,98,582.0,299.0,10,0,7,3,110,0,3,2,0,0,0,0,13,5,4,55.6
Ilaix Moriba,GUI,MF,Celta Vigo,La Liga,21,2003,10,5,433,4.8,0,0,0,0,0,0,4,1,0.1,0.1,0.4,0.6,6,23,8,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,6,1,16.7,1.25,0.21,0.0,0.0,25,0,0.02,-0.1,-0.1,216,246,87.8,3393,887,113,127,89.0,71,78,91.0,19,23,82.6,0.4,-0.4,5,25,6,1,1,4,2,2,10,2.08,9,0,1,0,0,0,0,0,0,0,0,0,0,0,13,9,3,10,0,8,19,42.1,11,5,2,4,17,7,0,304,10,63,166,79,8,304,10,4,40.0,3,30.0,200,978.0,400.0,7,1,7,5,224,1,3,14,0,0,0,0,18,3,7,30.0
Manu Morlanes,ESP,MF,Mallorca,La Liga,25,1999,12,8,689,7.7,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,13,46,22,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,5,0,0.0,0.65,0.0,0.0,0.0,25,0,0.04,-0.2,-0.2,333,377,88.3,5443,1642,164,174,94.3,143,162,88.3,18,27,66.7,0.6,-0.2,5,45,9,3,1,3,7,2,21,2.74,18,1,0,2,0,0,0,0,0,0,0,0,0,0,21,13,11,6,4,10,15,66.7,5,13,6,17,38,11,0,454,24,95,277,86,4,454,4,1,25.0,3,75.0,246,1369.0,736.0,10,0,4,7,278,0,6,7,0,0,0,0,45,8,13,38.1
Nikola Moro,CRO,MF,Bologna,Serie A,26,1998,8,7,518,5.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,9,57,14,0.0,0.17,0.17,0.0,0.17,0.05,0.05,0.1,0.05,0.1,7,1,14.3,1.22,0.17,0.0,0.0,25,1,0.04,-0.3,-0.3,307,379,81.0,6085,1514,111,133,83.5,137,163,84.0,50,65,76.9,0.5,0.7,10,46,7,2,1,4,15,8,25,4.34,19,4,0,1,0,1,3,0,1,0,0,1,0,1,14,12,4,8,2,10,13,76.9,3,10,5,4,18,5,0,432,11,62,269,104,2,432,6,3,50.0,2,33.3,217,1026.0,478.0,6,0,7,2,295,0,10,3,0,0,0,0,31,7,4,63.6
Raúl Moro,ESP,"FW,MF",Valladolid,La Liga,22,2002,13,9,939,10.4,3,1,4,3,0,0,1,0,1.6,1.6,2.2,3.8,48,40,90,0.29,0.1,0.38,0.29,0.38,0.15,0.21,0.36,0.15,0.36,17,5,29.4,1.63,0.48,0.18,0.6,17,0,0.09,1.4,1.4,211,316,66.8,4021,1307,102,124,82.3,66,94,70.2,38,71,53.5,2.2,-1.2,22,19,17,7,0,6,60,14,42,4.03,26,6,8,0,1,1,3,0,2,0,1,0,0,0,12,7,9,2,1,6,17,35.3,11,5,0,8,20,6,0,426,7,63,141,233,41,426,53,25,47.2,27,50.9,249,2429.0,1349.0,31,21,20,6,289,0,2,9,3,0,0,0,40,4,6,40.0
Sam Morsy,EGY,MF,Ipswich Town,Premier League,33,1991,10,10,893,9.9,1,1,2,1,0,0,4,0,0.2,0.2,0.3,0.5,4,45,4,0.1,0.1,0.2,0.1,0.2,0.02,0.03,0.05,0.02,0.05,5,1,20.0,0.5,0.1,0.2,1.0,24,0,0.04,0.8,0.8,448,502,89.2,7140,1945,238,253,94.1,167,181,92.3,30,40,75.0,0.7,0.7,7,55,7,2,1,1,4,8,15,1.51,13,2,0,0,0,0,1,0,1,0,0,0,0,0,29,17,15,11,3,13,23,56.5,10,12,4,6,35,16,1,573,25,158,334,87,1,573,10,9,90.0,1,10.0,327,1781.0,791.0,11,0,4,4,408,0,18,8,0,0,0,0,47,5,8,38.5
Cristhian Mosquera,ESP,DF,Valencia,La Liga,20,2004,11,11,990,11.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,13,39,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,3,1,33.3,0.27,0.09,0.0,0.0,10,0,0.06,-0.2,-0.2,505,566,89.2,9613,3331,188,205,91.7,267,290,92.1,49,61,80.3,0.1,0.0,0,28,0,0,0,3,0,1,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,1,0,2,4,50.0,2,12,8,12,21,39,0,661,71,339,315,11,3,661,7,4,57.1,3,42.9,382,2384.0,1334.0,6,0,6,0,422,0,6,6,0,0,1,0,55,19,21,47.5
Daniel Mosquera,COL,FW,Hellas Verona,Serie A,25,1999,11,3,415,4.6,3,1,4,3,0,0,1,0,2.1,2.1,0.7,2.8,5,6,26,0.65,0.22,0.87,0.65,0.87,0.47,0.15,0.61,0.47,0.61,15,4,26.7,3.25,0.87,0.2,0.75,13,0,0.14,0.9,0.9,60,89,67.4,785,136,41,53,77.4,13,19,68.4,2,5,40.0,0.5,0.3,5,5,2,0,1,0,2,2,11,2.39,8,0,0,2,1,0,2,0,2,0,0,0,0,0,4,2,1,1,2,0,2,0.0,2,3,1,0,4,4,0,143,5,11,65,69,20,143,10,6,60.0,4,40.0,69,408.0,133.0,6,3,12,9,100,0,10,5,2,0,0,0,12,20,25,44.4
Yerson Mosquera,COL,DF,Wolves,Premier League,23,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,2,0,0.0,0.41,0.0,0.0,0.0,12,0,0.17,-0.3,-0.3,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0.0,-0.1,2,16,1,1,0,1,2,3,5,1.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,9,2,0,9,14,64.3,5,13,10,10,21,14,0,294,43,170,115,12,7,294,0,0,0.0,0,0.0,168,683.0,322.0,1,0,4,1,182,0,6,7,1,0,0,0,24,11,6,64.7
Dany Mota,POR,MF,Monza,Serie A,26,1998,10,7,628,7.0,4,0,4,4,0,0,2,0,1.9,1.9,0.3,2.2,21,16,38,0.57,0.0,0.57,0.57,0.57,0.27,0.04,0.32,0.27,0.32,11,4,36.4,1.58,0.57,0.36,1.0,12,0,0.17,2.1,2.1,131,180,72.8,2179,352,67,82,81.7,50,62,80.6,10,17,58.8,0.7,-0.3,5,8,7,2,2,3,17,10,15,2.15,11,0,1,1,2,0,1,0,1,0,0,0,0,0,5,1,1,0,4,1,3,33.3,2,9,0,7,12,6,0,264,6,37,115,118,26,264,12,6,50.0,5,41.7,157,1076.0,507.0,13,5,25,8,186,0,8,13,0,0,0,0,29,10,15,40.0
Yael Mouanga,FRA,DF,Montpellier,Ligue 1,19,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,58,89.7,975,234,19,22,86.4,28,28,100.0,5,7,71.4,0.0,0.0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,100.0,0,3,3,0,2,7,0,72,15,45,27,0,0,72,1,1,100.0,0,0.0,49,277.0,115.0,0,0,1,0,50,0,0,0,0,0,0,0,1,4,3,57.1
